plantbarcode,experiment,datetime,jobdate,cameralabel,frameid,frame,parameter,roi,frame_avg,yii_avg,npq_avg,yii_std,npq_std,obj_in_frame,unique_roi,gtype,idate,n_roi,n_uniqueroi
A3,amiRNA_psII,2020-03-05T20:15:51Z,2020-03-06,PSII0,2,Fm,FvFm,1,100.3293,0.8285,0,0.0198,0,TRUE,TRUE,AP83,8,2,2
A3,amiRNA_psII,2020-03-05T20:15:51Z,2020-03-06,PSII0,7,Fp,t40_ALon,0,22.0271,0.7883,0.0273,0.0123,0.0242,TRUE,TRUE,AP32,8,2,2
A3,amiRNA_psII,2020-03-05T20:15:51Z,2020-03-06,PSII0,7,Fp,t40_ALon,1,19.989,0.796,0.0263,0.0127,0.0241,TRUE,TRUE,AP83,8,2,2
A3,amiRNA_psII,2020-03-05T20:15:51Z,2020-03-06,PSII0,8,Fmp,t40_ALon,0,104.1117,0.7883,0.0273,0.0123,0.0242,TRUE,TRUE,AP32,8,2,2
A3,amiRNA_psII,2020-03-05T20:15:51Z,2020-03-06,PSII0,8,Fmp,t40_ALon,1,98.0684,0.796,0.0263,0.0127,0.0241,TRUE,TRUE,AP83,8,2,2
A3,amiRNA_psII,2020-03-05T20:15:51Z,2020-03-06,PSII0,9,Fp,t60_ALon,0,58.934,0.1256,0.5947,0.0326,0.1719,TRUE,TRUE,AP32,8,2,2
A3,amiRNA_psII,2020-03-05T20:15:51Z,2020-03-06,PSII0,9,Fp,t60_ALon,1,52.7833,0.1307,0.662,0.0337,0.1711,TRUE,TRUE,AP83,8,2,2
A3,amiRNA_psII,2020-03-05T20:15:51Z,2020-03-06,PSII0,10,Fmp,t60_ALon,0,67.4067,0.1256,0.5947,0.0326,0.1719,TRUE,TRUE,AP32,8,2,2
A3,amiRNA_psII,2020-03-05T20:15:51Z,2020-03-06,PSII0,10,Fmp,t60_ALon,1,60.7101,0.1307,0.662,0.0337,0.1711,TRUE,TRUE,AP83,8,2,2
A3,amiRNA_psII,2020-03-05T20:15:51Z,2020-03-06,PSII0,11,Fp,t80_ALon,0,39.5662,0.1693,1.2473,0.0391,0.1857,TRUE,TRUE,AP32,8,2,2
A3,amiRNA_psII,2020-03-05T20:15:51Z,2020-03-06,PSII0,11,Fp,t80_ALon,1,37.4107,0.1804,1.2022,0.0387,0.163,TRUE,TRUE,AP83,8,2,2
A3,amiRNA_psII,2020-03-05T20:15:51Z,2020-03-06,PSII0,12,Fmp,t80_ALon,0,47.6836,0.1693,1.2473,0.0391,0.1857,TRUE,TRUE,AP32,8,2,2
A3,amiRNA_psII,2020-03-05T20:15:51Z,2020-03-06,PSII0,12,Fmp,t80_ALon,1,45.6798,0.1804,1.2022,0.0387,0.163,TRUE,TRUE,AP83,8,2,2
